SAs,Memories,Cost
0,0,0
1,1,0.000363223
1,2,0.000405104
1,3,0.000508412
1,4,0.000629149
1,5,0.00076737
1,6,0.000903202
1,7,0.001057872
1,8,0.001216331
1,9,0.001392743
1,10,0.001576953
1,11,0.001769407
1,12,0.001970575
1,13,0.002202975
1,14,0.002425284
1,15,0.002684794
1,16,0.002930831
1,17,0.003220694
1,18,0.003528596
1,19,0.003855661
1,20,0.004161042
1,21,0.004526361
1,22,0.00491437
1,23,0.005326444
1,24,0.005706398
1,25,0.006166397
1,26,0.006654776
1,27,0.007173221
1,28,0.007723506
1,29,0.008307503
1,30,0.008927182
1,31,0.00958462
1,32,0.01017918
1,33,0.01091141
1,34,0.01168786
1,35,0.012511056
1,36,0.013383657
1,37,0.014308458
1,38,0.015288404
1,39,0.016326592
1,40,0.01742628
1,41,0.018590899
1,42,0.019824054
1,43,0.02112954
1,44,0.022511349
1,45,0.023973677
1,46,0.025520941
1,47,0.027157784
1,48,0.028600198
1,49,0.030412793
1,50,0.032329336
1,51,0.034355452
1,52,0.036497051
1,53,0.038760352
1,54,0.041151894
1,55,0.043678551
1,56,0.046347553
1,57,0.049166504
1,58,0.052143398
1,59,0.055286644
1,60,0.058605085
1,61,0.062108021
1,62,0.065805234
1,63,0.069707011
1,64,0.073824174
1,65,0.078168109
1,66,0.082750792
1,67,0.087584822
1,68,0.092683458
1,69,0.098060651
1,70,0.103731083
1,71,0.109710206
1,72,0.116014286
1,73,0.122660448
1,74,0.129666718
1,75,0.137052082
1,76,0.144836534
1,77,0.153041133
1,78,0.161688065
1,79,0.170800706
1,80,0.180403693
1,81,0.190522991
1,82,0.201185974
1,83,0.212421509
1,84,0.224260038
1,85,0.236733677
1,86,0.249876312
1,87,0.263723705
1,88,0.278313613
1,89,0.2936859
1,90,0.309882676
1,91,0.32694843
1,92,0.344930179
1,93,0.363877629
1,94,0.383843346
1,95,0.404882935
1,96,0.418898983
2,2,0.000437244
2,3,0.000537445
2,4,0.000657562
2,5,0.000796315
2,6,0.000932692
2,7,0.001088531
2,8,0.001248214
2,9,0.001426239
2,10,0.001612152
2,11,0.001806402
2,12,0.002009464
2,13,0.002244273
2,14,0.002468706
2,15,0.002730913
2,16,0.002979329
2,17,0.00327221
2,18,0.003583319
2,19,0.003913788
2,20,0.004222167
2,21,0.004591284
2,22,0.004983322
2,23,0.005399669
2,24,0.005783376
2,25,0.006248128
2,26,0.006741544
2,27,0.007265323
2,28,0.007821256
2,29,0.008411233
2,30,0.00903724
2,31,0.009701372
2,32,0.010301776
2,33,0.011041418
2,34,0.011825706
2,35,0.012657186
2,36,0.01353854
2,37,0.01447259
2,38,0.015462304
2,39,0.016510808
2,40,0.017621388
2,41,0.018797505
2,42,0.020042795
2,43,0.021361087
2,44,0.022756406
2,45,0.024232988
2,46,0.025795285
2,47,0.027447981
2,48,0.028904043
2,49,0.030734085
2,50,0.032669021
2,51,0.034714522
2,52,0.036876552
2,53,0.039161382
2,54,0.041575608
2,55,0.044126164
2,56,0.046820343
2,57,0.049665813
2,58,0.05267064
2,59,0.055843305
2,60,0.059192727
2,61,0.062728287
2,62,0.066459852
2,63,0.0703978
2,64,0.074553047
2,65,0.078937077
2,66,0.083561971
2,67,0.08844044
2,68,0.093585858
2,69,0.0990123
2,70,0.104734575
2,71,0.110768274
2,72,0.117129806
2,73,0.123836446
2,74,0.130906383
2,75,0.138358771
2,76,0.146213783
2,77,0.154492666
2,78,0.163217807
2,79,0.172412793
2,80,0.182102483
2,81,0.192313078
2,82,0.203072203
2,83,0.214408988
2,84,0.226354157
2,85,0.23894012
2,86,0.252201079
2,87,0.26617313
2,88,0.280894381
2,89,0.296405073
2,90,0.312747715
2,91,0.329967217
2,92,0.348111047
2,93,0.367229389
2,94,0.387375317
2,95,0.408604978
2,96,0.422764169
3,3,0.000566773
3,4,0.000686262
3,5,0.000825552
3,6,0.00096248
3,7,0.001119504
3,8,0.001280423
3,9,0.00146008
3,10,0.001647714
3,11,0.00184378
3,12,0.002048755
3,13,0.002285999
3,14,0.002512578
3,15,0.002777513
3,16,0.003028332
3,17,0.003324262
3,18,0.003638611
3,19,0.003972521
3,20,0.004283928
3,21,0.004656882
3,22,0.005052989
3,23,0.005473653
3,24,0.00586115
3,25,0.006330703
3,26,0.006829205
3,27,0.007358371
3,28,0.007920009
3,29,0.008516023
3,30,0.00914842
3,31,0.009819311
3,32,0.010425614
3,33,0.011172741
3,34,0.011964941
3,35,0.012804784
3,36,0.013694975
3,37,0.01463836
3,38,0.015637934
3,39,0.016696851
3,40,0.017818425
3,41,0.019006146
3,42,0.020263684
3,43,0.021594901
3,44,0.023003856
3,45,0.024494821
3,46,0.026072289
3,47,0.027740984
3,48,0.029210816
3,49,0.031058464
3,50,0.03301196
3,51,0.035077022
3,52,0.037259667
3,53,0.039566221
3,54,0.042003335
3,55,0.044578005
3,56,0.047297586
3,57,0.050169813
3,58,0.053202822
3,59,0.056405168
3,60,0.059785847
3,61,0.063354321
3,62,0.067120544
3,63,0.071094984
3,64,0.075288653
3,65,0.079713134
3,66,0.084380614
3,67,0.089303915
3,68,0.09449653
3,69,0.099972656
3,70,0.105747234
3,71,0.111835991
3,72,0.118255483
3,73,0.125023137
3,74,0.132157304
3,75,0.13967731
3,76,0.147603507
3,77,0.155957334
3,78,0.164761378
3,79,0.17403944
3,80,0.183816604
3,81,0.19411931
3,82,0.204975434
3,83,0.216414374
3,84,0.228467135
3,85,0.241166429
3,86,0.254546774
3,87,0.268644604
3,88,0.283498383
3,89,0.299148732
3,90,0.31563856
3,91,0.333013207
3,92,0.351320596
3,93,0.370611392
3,94,0.390939184
3,95,0.412360665
3,96,0.426664366
4,4,0.000715253
4,5,0.000855086
4,6,0.000992572
4,7,0.001150792
4,8,0.001312962
4,9,0.001494269
4,10,0.001683643
4,11,0.001881544
4,12,0.002088453
4,13,0.002328158
4,14,0.002556907
4,15,0.002824597
4,16,0.003077845
4,17,0.003376857
4,18,0.003694479
4,19,0.004031864
4,20,0.004346331
4,21,0.004723161
4,22,0.00512338
4,23,0.005548403
4,24,0.005939728
4,25,0.00641413
4,26,0.006917769
4,27,0.007452375
4,28,0.008019773
4,29,0.008621884
4,30,0.009260732
4,31,0.009938449
4,32,0.010550707
4,33,0.01130539
4,34,0.012105579
4,35,0.012953864
4,36,0.013852975
4,37,0.014805784
